TeamNumber,Name,City,State,Country,ImageURL
6308,SPCS - Hafabots,Yigo,Guam,USA,
6309,SPCS - Koko Tek,Yigo,Guam,USA,
6312,Hippocampinae,Christchurch,Virginia,USA,
6313,Hippocampus,Christchurch,Virginia,USA,
6314,DM Robotics The WolfPack,Scottsdale,Arizona,USA,
6315,Code Error 404,Laredo,Texas,USA,
6317,Disruptive Innovation,Davenport,Iowa,USA,
6318,FE Freedom Engineers,Freedom,Wisconsin,USA,
6319,Tecmilenio ENKI-NOVA 6319,AHOME,Sinaloa,Mexico,
6320,Iron Hawks,Manchester,Iowa,USA,
6321,■ R-Cubed  Rouse Raider Robotics ■,Leander,Texas,USA,
6322,OneClay ARMORY,Green Cove Springs,Florida,USA,
6323,Hayden Robotics,Burlington,Ontario,Canada,
6324,The Blue Devils,Salem,New Hampshire,USA,
6325,Reset Robotics,Alpharetta,Georgia,USA,
6326,⚡ Baltimore Bolts ⚡,Baltimore,Maryland,USA,
6327,The Fighting Gophers,Media,Pennsylvania,USA,
6328,Mechanical Advantage,Littleton,Massachusetts,USA,
6329,The Bucks' Wrath,Bucksport,Maine,USA,
6330,6330 - Arc Angels,Mississauga,Ontario,Canada,
6331,Sabotage,Windsor,Ontario,Canada,
6332,Bull City Botics,Durham,North Carolina,USA,
6333,Scavenger Robotics,Putnam,Connecticut,USA,
6334,Aluminati,Midlothian,Virginia,USA,
6335,Terminal Velocity,Burlington,Massachusetts,USA,
6336,Javawockies,London,Ontario,Canada,
6337,Terror Bytes,Pittsfield,Maine,USA,
6338,DRIVING STEEL,Macomb,Michigan,USA,
6339,Pelican Falls First Nations High School,Sioux Lookout,Ontario,Canada,
6340,The Marist Manatees,Atlanta,Georgia,USA,
6341,Firestorm Robotics,Acworth,Georgia,USA,
6342,BT Robotics,Ancaster,Ontario,Canada,
6343,Steel Ridge,Ridgefield,Washington,USA,
6344,Yale Jiggawattz,Yale,Michigan,USA,
6345,Nimrod Nation,Watersmeet,Michigan,USA,
6346,Cybears Robotics Team,Norwalk,Connecticut,USA,
6347,St. James Lions,Guelph,Ontario,Canada,
6348,PrepaTec - HORUS,Colima,Colima,Mexico,
6349,Albany High Indians,Albany,Georgia,USA,
6350,Clawbots,Enumclaw,Washington,USA,
6351,Rundle College Robotics,Calgary,Alberta,Canada,
6352,LAUNCH TEAM,Surprise,Arizona,USA,
6353,EFZ Robotics,Shanghai,Shanghai,China,
6354,Jiayi Superhuman Strength,Shanghai,Shanghai,China,
6355,Patriots,Sandusky,Ohio,USA,
6356,MetaRobotics,Shenzhen,Guangdong,China,
6357,The Spring Konstant,Dripping Springs,Texas,USA,
6358,The Buhlean Operators,Buhl,Idaho,USA,
6359,TechKnow Difficulties,Aurora,Nebraska,USA,
6360,Quanzhou No.5 Middle School,Quanzhou,Fujian,China,
6361,The Blazer,Shanghai,Shanghai,China,
6362,Shengxue Corps,Shanghai,Shanghai,China,
6363,BirdBots,El Campo,Texas,USA,
6364,Ten Ton,West Vancouver,British Columbia,Canada,
6365,Imperial star destroyer,Shanghai,Shanghai,China,
6366,RAM Rodz Robotics,Simpsonville,South Carolina,USA,
6367,The ElectroLights,Dorchester Center,Massachusetts,USA,
6368,Unknown,Shanghai,Shanghai,China,
6369,Mercenary Robotics,McKinney,Texas,USA,
6370,Texas Titans,Helotes,Texas,USA,
6371,Spencer Robotics,Spencer,Iowa,USA,
6372,Chi-squared Robotics,Gilbert,Arizona,USA,
6373,River City Robotics,Chattanooga,Tennessee,USA,
6374,NanChong Union,Nan Chong,Sichuan,China,
6375,MC²,Beijing,Beijing,China,
6376,Further Dream,Shanghai,Shanghai,China,
6377,Howdy Bots,Austin,Texas,USA,
6378,LYNX,Mississauga,Ontario,Canada,
6379,Terabyte of Ram,Pleasant Hill,Iowa,USA,
6380,ORION ROBOTICS,Istanbul,Istanbul,Türkiye,
6381,Red Raider Robotics,Sheboygan,Wisconsin,USA,
6382,RoboHornz,Vista,California,USA,
6383,PLUG&PLAY,Shenzhen,Guangdong,China,
6384,Hisar Ravens,Gokturk ISTANBUL,Istanbul,Turkey,
6385,TrueMoe,Jinhua,Zhejiang,China,
6386,Guangzhou research robot club,GUANGZHOU,Guangdong,China,
6387,Discobots Canada,Brampton,Ontario,Canada,
6388,WonderWorks Robotics,istanbul,Istanbul,Turkey,
6389,Matster Mechanist,Nanjing,Jiangsu,China,
6390,Hephaestus,Surrey,British Columbia,Canada,
6391,Ursuline Bearbotics,Saint Louis,Missouri,USA,
6392,Dimension Creator,Chengdu,Sichuan,China,
6393,Pioneer,Zhengzhou,Henan,China,
6394,MITO,Suzhou,Jiangsu,China,
6395,Xindu No.2 High School ,Chengdu ,Sichuan,China,
6396,Steel Tempest,Pensacola,Florida,USA,
6397,Romero Robotics,Toronto,Ontario,Canada,
6398,Kilo-bots,Santa Paula,California,USA,
6399,Tinspiratio,Jinan ,Shandong,China,
6400,The Manhattan Project,Manhattan,Montana,USA,
6401,8-bit RAMs,New City,New York,USA,
6402,GÖKTÜRKLER,İSTANBUL,Istanbul,Türkiye,
6403,D.P. Todd Secondary,Prince George,British Columbia,Canada,
6404,Brazilian Storm,São José dos Campos,São Paulo,Brazil,
6405,EntreBots,Palmdale,California,USA,
6406,Cyber/Scorpions,Salt Spring Island,British Columbia,Canada,
6407,Tecmilenio - DEVOLT - 6407,Chihuahua,Chihuahua,Mexico,
6408,Syntechs Robotics,Port Moody,British Columbia,Canada,
6409,Odrinias,Edirne,Edirne,Turkey,
6410,Supreme Eagles,Salinas,California,USA,
6411,Gravediggers,Sandy,Utah,USA,
6412,For Sale By Owner,Cedar Rapids,Iowa,USA,
6413,Degrees of Freedom,Chandler,Arizona,USA,
6414,Voyager,Shenzhen,Guangdong,China,
6415,Gultepe Robotics Team 6415,Istanbul,Istanbul,Türkiye,
6416,MEVOLUTION ROBOTIC TEAM,Büyükçekmece,Istanbul,Turkey,
6417,Fridolins,Glarus,Glarus,Switzerland,
6418,The Missfits,San Francisco,California,USA,
6419,Kernel Chaos,West Des Moines,Iowa,USA,
6420,Fire Island Robotics,Muscatine,Iowa,USA,
6421,WarriorBots,Muskego,Wisconsin,USA,
6422,GearHeadz,Rocky Point,New York,USA,
6423,Ward Melville Iron Patriots,East Setauket,New York,USA,
6424,Stealth Panther Robotics,Knob Noster,Missouri,USA,
