Id,isActive,Name,Color_1,Color_2
1,TRUE,Normal,#FF43B02A,#FFFF0000
2,TRUE,Blue - Orange,#FF2196F3,#FFFF5722
3,TRUE,Blue - Brown,#FF2196F3,#FF573D34
4,TRUE,No Colors,#FFFFFFFF,#FFFFFFFF
